emp_id,emp_name,dept_id,job_level,gender,experience_years,location,salary,bonus,attrition
99,Karan Malhotra,5,Manager,Male,14,Mumbai,132594,19601,No
100,Rohit Kumar,2,Manager,Male,2,Chennai,126525,12140,No
101,Priya Singh,3,Mid,Female,1,Delhi,35647,26671,No
102,Sneha Iyer,3,Mid,Male,6,Mumbai,44064,24032,No
103,Pooja Patel,1,Junior,Female,11,Chennai,87083,12824,No
104,Priya Singh,3,Senior,Male,8,Mumbai,135010,19968,No
105,Amit Sharma,3,Junior,Female,1,Mumbai,75411,26236,No
106,Priya Singh,2,Junior,Female,3,Delhi,85835,17611,No
107,Rohit Kumar,5,Manager,Male,1,Delhi,61195,10385,No
108,Ritu Saxena,4,Mid,Female,10,Bangalore,141156,21244,No
109,Deepak Mishra,3,Junior,Female,9,Mumbai,58979,19424,No
110,Priya Singh,3,Junior,Female,7,Delhi,69539,20017,No
111,Amit Sharma,4,Junior,Female,14,Chennai,87752,23836,No
112,Rohit Kumar,3,Manager,Female,8,Bangalore,53992,11508,No
113,Deepak Mishra,2,Manager,Male,9,Bangalore,63288,17159,No
114,Vikas Yadav,2,Mid,Male,3,Chennai,35642,16933,No
115,Suresh Reddy,4,Junior,Female,10,Delhi,89876,17105,No
116,Ritu Saxena,3,Junior,Female,11,Mumbai,76698,16988,No
117,Ritu Saxena,3,Mid,Male,2,Bangalore,33884,29960,No
118,Kavita Nair,5,Mid,Male,6,Chennai,146564,25488,No
119,Manish Jain,3,Mid,Male,5,Chennai,78385,15754,No
120,Swati Joshi,2,Senior,Female,4,Chennai,65509,12536,No
121,Vikas Yadav,1,Mid,Female,6,Chennai,61649,27836,Yes
122,Nisha Agarwal,1,Manager,Male,6,Bangalore,109017,7217,Yes
123,Varun Bansal,1,Senior,Male,12,Mumbai,66300,21530,No
124,Neha Gupta,1,Mid,Male,3,Delhi,126068,23310,No
125,Rohit Kumar,3,Manager,Female,14,Chennai,128954,8754,No
126,Vikas Yadav,3,Mid,Female,2,Chennai,41036,13271,No
127,Manish Jain,5,Mid,Female,9,Mumbai,97694,11595,No
128,Ritu Saxena,3,Senior,Male,8,Mumbai,114571,22361,No
129,Arjun Das,1,Manager,Female,14,Delhi,138763,26286,No
130,Neha Gupta,4,Junior,Male,4,Bangalore,104756,18866,Yes
131,Manish Jain,4,Mid,Male,6,Mumbai,39747,11052,No
132,Vikas Yadav,2,Senior,Male,3,Bangalore,76692,24188,Yes
133,Swati Joshi,2,Manager,Female,11,Bangalore,70230,28963,No
134,Rahul Verma,3,Mid,Female,8,Chennai,86777,9390,No
135,Kavita Nair,4,Junior,Female,3,Bangalore,92108,14345,No
136,Manish Jain,1,Manager,Female,2,Chennai,120049,11012,No
137,Anjali Mehta,1,Manager,Female,7,Chennai,69806,10883,No
138,Sneha Iyer,1,Senior,Female,14,Delhi,137008,26668,No
139,Sneha Iyer,3,Mid,Male,3,Bangalore,80387,13804,Yes
140,Varun Bansal,3,Mid,Male,13,Mumbai,112038,15002,No
141,Arjun Das,5,Manager,Female,9,Mumbai,91824,24962,No
142,Vikas Yadav,1,Mid,Female,3,Mumbai,144947,25548,No
143,Amit Sharma,1,Manager,Female,8,Delhi,35518,9651,No
144,Amit Sharma,3,Junior,Male,2,Chennai,80350,7956,No
145,Varun Bansal,3,Senior,Female,9,Chennai,135885,10781,No
146,Manish Jain,5,Mid,Male,1,Mumbai,36277,8206,No
147,Suresh Reddy,5,Mid,Female,12,Chennai,105877,21257,No
148,Priya Singh,2,Senior,Male,3,Chennai,147120,22213,Yes
149,Vikas Yadav,4,Junior,Male,11,Delhi,77558,9597,No
150,Anjali Mehta,1,Junior,Female,14,Bangalore,53613,14165,No
151,Pooja Patel,1,Junior,Male,2,Bangalore,30959,5659,No
152,Suresh Reddy,5,Junior,Male,13,Delhi,82100,12805,No
153,Rohit Kumar,5,Junior,Male,14,Delhi,79717,5760,No
154,Amit Sharma,2,Manager,Male,13,Chennai,35936,13523,No
155,Swati Joshi,4,Mid,Female,12,Delhi,58678,5958,No
156,Kavita Nair,2,Mid,Male,7,Chennai,108691,14950,No
157,Sneha Iyer,4,Mid,Male,5,Bangalore,53042,10840,No
158,Ritu Saxena,1,Manager,Male,8,Delhi,114299,28183,No
159,Suresh Reddy,2,Senior,Female,2,Chennai,41642,9408,No
160,Varun Bansal,5,Junior,Female,8,Bangalore,136940,6855,No
161,Nisha Agarwal,2,Senior,Male,7,Bangalore,49923,21738,No
162,Nisha Agarwal,2,Junior,Female,12,Mumbai,111832,10621,No
163,Varun Bansal,1,Junior,Female,11,Bangalore,81860,7272,Yes
164,Sneha Iyer,5,Senior,Female,5,Delhi,114255,25578,No
165,Vikas Yadav,5,Mid,Female,2,Delhi,39227,19642,Yes
166,Rahul Verma,3,Manager,Female,10,Chennai,98580,9890,No
167,Priya Singh,3,Senior,Female,11,Delhi,143767,8162,No
168,Nisha Agarwal,3,Mid,Female,7,Bangalore,129590,25264,Yes
169,Rohit Kumar,1,Junior,Male,10,Chennai,105186,11517,No
170,Nisha Agarwal,2,Mid,Male,4,Bangalore,40412,13395,Yes
171,Nisha Agarwal,5,Junior,Male,4,Mumbai,129934,25349,No
172,Nisha Agarwal,5,Junior,Female,8,Chennai,61040,5608,No
173,Rahul Verma,2,Mid,Male,6,Mumbai,115947,13076,No
174,Rahul Verma,5,Junior,Female,9,Chennai,78842,6140,Yes
175,Rohit Kumar,2,Manager,Female,11,Delhi,49500,17353,No
176,Amit Sharma,1,Mid,Male,2,Bangalore,68433,9874,No
177,Amit Sharma,1,Senior,Male,5,Chennai,110082,9996,No
178,Swati Joshi,1,Junior,Male,6,Delhi,123066,26307,No
179,Rahul Verma,2,Junior,Male,8,Delhi,43024,18697,Yes
180,Sneha Iyer,2,Manager,Female,4,Delhi,59088,13173,Yes
181,Anjali Mehta,4,Manager,Male,11,Mumbai,144951,11235,Yes
182,Neha Gupta,5,Senior,Male,7,Delhi,52828,10196,No
183,Arjun Das,5,Junior,Female,11,Chennai,133879,12917,No
184,Nisha Agarwal,4,Senior,Female,7,Mumbai,119313,20611,No
185,Anjali Mehta,4,Senior,Female,4,Bangalore,66967,5738,No
186,Rohit Kumar,1,Junior,Female,1,Delhi,149770,19183,No
187,Varun Bansal,4,Senior,Female,3,Chennai,103948,28871,No
188,Rahul Verma,2,Senior,Male,2,Chennai,79485,15892,No
189,Anjali Mehta,3,Manager,Male,13,Mumbai,137820,8723,No
190,Arjun Das,2,Manager,Female,13,Bangalore,142100,5657,No
191,Karan Malhotra,4,Senior,Male,12,Mumbai,72440,28696,No
192,Karan Malhotra,5,Junior,Female,3,Delhi,128739,24110,No
193,Amit Sharma,2,Manager,Male,5,Bangalore,147129,14301,No
194,Suresh Reddy,5,Senior,Male,11,Bangalore,118797,24596,Yes
195,Anjali Mehta,2,Mid,Male,12,Bangalore,95578,27572,No
196,Karan Malhotra,5,Mid,Male,1,Mumbai,77313,29421,Yes
197,Priya Singh,2,Senior,Male,5,Chennai,47349,7164,No
198,Varun Bansal,5,Mid,Female,2,Mumbai,124218,13338,Yes
199,Neha Gupta,3,Manager,Male,14,Chennai,30215,17247,No
200,Swati Joshi,1,Junior,Male,4,Mumbai,41427,11802,No
201,Priya Singh,2,Senior,Male,6,Chennai,50704,26524,Yes
202,Swati Joshi,3,Manager,Male,9,Chennai,60432,9631,Yes
203,Varun Bansal,1,Junior,Female,10,Bangalore,32705,8229,No
204,Vikas Yadav,2,Mid,Female,6,Chennai,111598,26551,No
205,Varun Bansal,3,Mid,Female,10,Delhi,71732,25898,Yes
206,Suresh Reddy,3,Mid,Male,13,Delhi,146510,10229,No
207,Amit Sharma,3,Mid,Female,11,Chennai,50495,24984,No
208,Pooja Patel,4,Manager,Female,12,Chennai,125240,28009,No
209,Vikas Yadav,5,Manager,Female,2,Chennai,61233,16830,No
210,Aakash Pandey,1,Junior,Female,8,Chennai,123267,20496,Yes
211,Pooja Patel,5,Senior,Male,5,Bangalore,103658,10196,No
212,Amit Sharma,5,Junior,Male,9,Delhi,103785,23701,No
213,Arjun Das,5,Senior,Male,10,Bangalore,59656,5921,Yes
214,Aakash Pandey,3,Mid,Male,9,Delhi,34946,26171,No
215,Kavita Nair,5,Mid,Female,4,Chennai,60207,27154,No
216,Priya Singh,4,Mid,Male,13,Delhi,107417,25274,No
217,Vikas Yadav,2,Mid,Male,1,Delhi,34743,12849,No
218,Karan Malhotra,3,Manager,Male,11,Mumbai,48227,25721,No
219,Karan Malhotra,1,Junior,Female,14,Mumbai,79612,25413,Yes
220,Varun Bansal,2,Senior,Female,9,Chennai,104696,7978,No
221,Nisha Agarwal,2,Senior,Female,9,Bangalore,62068,14279,No
222,Rahul Verma,2,Manager,Male,8,Mumbai,43521,10777,No
223,Amit Sharma,5,Mid,Male,5,Chennai,82967,27925,No
224,Karan Malhotra,5,Junior,Male,5,Bangalore,37292,28415,Yes
225,Sneha Iyer,3,Mid,Male,10,Mumbai,37629,7096,No
226,Rohit Kumar,5,Manager,Female,6,Delhi,30289,10572,Yes
227,Rohit Kumar,5,Senior,Male,1,Mumbai,123397,23576,No
228,Suresh Reddy,5,Manager,Female,9,Chennai,45791,22300,No
229,Suresh Reddy,3,Senior,Female,5,Mumbai,72080,17685,No
230,Priya Singh,3,Junior,Male,7,Mumbai,94407,26150,No
231,Swati Joshi,4,Senior,Female,11,Bangalore,118312,10422,No
232,Karan Malhotra,4,Junior,Male,8,Bangalore,62246,24472,No
233,Karan Malhotra,4,Mid,Male,5,Delhi,55308,9176,No
234,Priya Singh,4,Mid,Male,3,Chennai,49960,15423,Yes
235,Varun Bansal,2,Manager,Male,6,Delhi,110986,11610,Yes
236,Amit Sharma,2,Junior,Female,7,Delhi,135152,12238,No
237,Varun Bansal,4,Mid,Female,13,Mumbai,99318,27617,No
238,Arjun Das,4,Junior,Male,14,Delhi,69683,25047,No
239,Nisha Agarwal,1,Mid,Female,4,Bangalore,75631,6981,No
240,Pooja Patel,2,Mid,Female,9,Delhi,34937,22772,No
241,Neha Gupta,1,Senior,Female,14,Chennai,106519,29778,Yes
242,Anjali Mehta,1,Manager,Male,11,Delhi,125970,24686,No
243,Pooja Patel,5,Senior,Male,4,Chennai,40230,21098,No
244,Varun Bansal,3,Junior,Male,11,Chennai,126422,25485,No
245,Priya Singh,2,Mid,Female,10,Delhi,61994,15596,No
246,Karan Malhotra,4,Manager,Male,2,Delhi,41710,16712,No
247,Priya Singh,4,Mid,Male,9,Delhi,141801,21096,No
248,Aakash Pandey,3,Mid,Male,4,Chennai,115978,8217,Yes
249,Deepak Mishra,2,Senior,Male,4,Bangalore,91779,15294,No
250,Aakash Pandey,4,Junior,Male,10,Mumbai,74477,10816,Yes
251,Rahul Verma,4,Manager,Male,1,Delhi,61881,13338,No
252,Priya Singh,5,Manager,Female,14,Mumbai,114076,9681,Yes
253,Karan Malhotra,1,Manager,Male,2,Delhi,147565,20827,No
254,Suresh Reddy,4,Junior,Female,12,Chennai,93904,18407,No
255,Neha Gupta,2,Manager,Male,3,Chennai,77529,12658,No
256,Amit Sharma,3,Junior,Female,7,Mumbai,88411,11052,No
257,Neha Gupta,5,Manager,Female,12,Bangalore,34437,5853,No
258,Amit Sharma,2,Mid,Female,9,Chennai,139546,5247,No
259,Deepak Mishra,5,Junior,Male,12,Mumbai,99456,18836,No
260,Karan Malhotra,1,Senior,Male,5,Chennai,44713,20429,Yes
261,Varun Bansal,4,Manager,Female,4,Delhi,96663,27876,No
262,Pooja Patel,2,Senior,Female,13,Mumbai,85753,9537,Yes
263,Vikas Yadav,3,Junior,Male,2,Mumbai,148755,15495,No
264,Priya Singh,1,Mid,Male,14,Delhi,104718,14601,No
265,Nisha Agarwal,1,Senior,Male,13,Mumbai,115406,16963,No
266,Amit Sharma,5,Senior,Female,12,Delhi,94388,7463,No
267,Karan Malhotra,1,Mid,Female,14,Bangalore,67495,19654,No
268,Sneha Iyer,2,Mid,Female,7,Delhi,72385,25121,Yes
269,Swati Joshi,5,Junior,Female,6,Bangalore,35509,14177,No
270,Deepak Mishra,1,Manager,Female,12,Mumbai,101017,27165,No
271,Anjali Mehta,3,Senior,Male,12,Delhi,56033,11473,No
272,Anjali Mehta,2,Senior,Female,7,Mumbai,66222,12311,No
273,Manish Jain,3,Junior,Female,8,Bangalore,80203,26750,Yes
274,Swati Joshi,3,Manager,Male,9,Chennai,119194,8134,No
275,Pooja Patel,5,Junior,Male,10,Chennai,60487,21041,No
276,Rahul Verma,4,Senior,Male,5,Chennai,93428,9000,No
277,Amit Sharma,5,Senior,Female,11,Chennai,147275,21173,No
278,Ritu Saxena,2,Mid,Male,5,Chennai,49641,12670,No
279,Amit Sharma,2,Mid,Female,4,Bangalore,130546,28787,Yes
280,Rohit Kumar,5,Manager,Male,11,Chennai,94657,14612,No
281,Karan Malhotra,4,Senior,Female,3,Chennai,34867,26280,No
282,Swati Joshi,5,Senior,Female,13,Mumbai,104599,21506,No
283,Neha Gupta,2,Mid,Male,7,Delhi,85984,23701,No
284,Priya Singh,4,Junior,Female,13,Delhi,112047,27535,No
285,Nisha Agarwal,2,Junior,Male,13,Delhi,134319,28257,No
286,Nisha Agarwal,4,Senior,Female,5,Delhi,54681,27869,No
287,Sneha Iyer,4,Senior,Female,7,Bangalore,125647,13877,Yes
288,Deepak Mishra,5,Manager,Female,2,Delhi,77455,6661,No
289,Anjali Mehta,5,Manager,Male,9,Mumbai,129710,12482,No
290,Priya Singh,5,Mid,Female,9,Bangalore,91138,24259,Yes
291,Suresh Reddy,4,Senior,Male,13,Chennai,148108,28275,No
292,Rohit Kumar,4,Junior,Female,9,Mumbai,51984,17092,No
293,Nisha Agarwal,2,Manager,Female,13,Mumbai,94321,7163,No
294,Deepak Mishra,3,Mid,Male,13,Chennai,122473,24222,No
295,Priya Singh,5,Mid,Male,5,Chennai,74554,24844,Yes
296,Amit Sharma,2,Junior,Female,14,Mumbai,111774,12252,No
297,Varun Bansal,2,Manager,Female,10,Bangalore,38182,12799,No
298,Amit Sharma,1,Junior,Female,12,Chennai,128272,18475,No
299,Priya Singh,5,Mid,Female,9,Delhi,39192,5554,No
300,Aakash Pandey,2,Senior,Female,1,Mumbai,107159,16399,No
301,Kavita Nair,1,Junior,Female,2,Mumbai,70256,12925,Yes
302,Priya Singh,5,Mid,Male,10,Chennai,108207,9008,No
303,Pooja Patel,4,Senior,Female,5,Chennai,35097,25985,No
304,Deepak Mishra,1,Senior,Male,5,Delhi,66880,6816,No
305,Aakash Pandey,4,Manager,Female,6,Delhi,146081,12539,No
306,Ritu Saxena,3,Manager,Female,14,Delhi,97407,19569,No
307,Rahul Verma,3,Mid,Male,8,Delhi,47473,20474,No
308,Kavita Nair,3,Junior,Female,12,Mumbai,108709,21572,No
309,Rahul Verma,3,Senior,Female,1,Chennai,59808,22824,Yes
310,Nisha Agarwal,2,Manager,Male,10,Bangalore,46003,6220,No
311,Pooja Patel,3,Manager,Female,12,Chennai,101071,23981,No
312,Amit Sharma,2,Junior,Male,9,Chennai,148854,28051,No
313,Suresh Reddy,2,Manager,Female,4,Delhi,77004,18947,No
314,Arjun Das,5,Mid,Female,8,Delhi,57708,16060,No
315,Karan Malhotra,2,Junior,Male,12,Mumbai,67307,15253,No
316,Vikas Yadav,2,Senior,Male,13,Delhi,147704,7907,No
317,Kavita Nair,3,Mid,Female,12,Mumbai,127593,27067,No
318,Priya Singh,2,Senior,Male,5,Chennai,106258,20604,No
319,Aakash Pandey,4,Senior,Male,1,Chennai,98851,6715,No
320,Manish Jain,3,Manager,Male,14,Chennai,83044,20661,Yes
321,Vikas Yadav,1,Mid,Female,9,Mumbai,73524,16727,No
322,Neha Gupta,3,Mid,Male,8,Mumbai,96929,19248,No
323,Manish Jain,2,Junior,Male,5,Mumbai,93804,12809,Yes
324,Varun Bansal,4,Mid,Male,14,Delhi,57668,11110,No
325,Amit Sharma,3,Junior,Male,11,Bangalore,40937,21995,No
326,Pooja Patel,4,Mid,Male,14,Delhi,47104,15701,Yes
327,Deepak Mishra,1,Senior,Female,4,Bangalore,34326,5283,No
328,Karan Malhotra,1,Junior,Female,8,Delhi,99133,7670,No
329,Deepak Mishra,5,Mid,Female,9,Chennai,67727,20135,No
330,Sneha Iyer,5,Junior,Female,7,Mumbai,70526,22995,No
331,Swati Joshi,3,Manager,Female,4,Delhi,119556,17821,No
332,Ritu Saxena,5,Manager,Male,7,Mumbai,58341,13873,No
333,Rahul Verma,4,Junior,Male,6,Delhi,90493,16631,No
334,Rahul Verma,5,Junior,Female,11,Chennai,99416,12164,No
335,Swati Joshi,4,Senior,Male,12,Mumbai,95295,20516,No
336,Nisha Agarwal,5,Mid,Male,3,Chennai,108386,12630,No
337,Varun Bansal,5,Manager,Male,10,Bangalore,51248,18891,No
338,Kavita Nair,5,Manager,Female,3,Mumbai,110679,9256,No
339,Anjali Mehta,2,Mid,Male,1,Delhi,53057,25653,No
340,Ritu Saxena,2,Manager,Male,14,Mumbai,104017,20240,No
341,Arjun Das,5,Manager,Female,13,Bangalore,141833,22906,No
342,Rohit Kumar,4,Junior,Female,5,Bangalore,62700,20909,No
343,Amit Sharma,3,Manager,Male,8,Delhi,36243,7073,Yes
344,Pooja Patel,1,Manager,Male,12,Chennai,69060,23173,Yes
345,Sneha Iyer,2,Manager,Female,6,Mumbai,111280,8370,No
346,Sneha Iyer,5,Mid,Female,8,Chennai,140514,7484,No
347,Rohit Kumar,1,Senior,Male,7,Chennai,54970,15010,No
348,Vikas Yadav,2,Junior,Male,2,Delhi,30375,11902,No
349,Neha Gupta,3,Senior,Female,8,Mumbai,134549,23442,No
350,Anjali Mehta,4,Manager,Male,4,Bangalore,134050,12405,Yes
351,Manish Jain,5,Manager,Female,11,Delhi,51261,7666,No
352,Varun Bansal,3,Manager,Female,5,Chennai,48523,22817,No
353,Ritu Saxena,2,Senior,Female,11,Bangalore,113894,8384,No
354,Priya Singh,5,Mid,Male,13,Chennai,73418,21906,No
355,Pooja Patel,1,Mid,Male,8,Mumbai,100037,23077,No
356,Varun Bansal,4,Junior,Female,5,Chennai,118084,9183,No
357,Karan Malhotra,2,Senior,Female,5,Bangalore,73639,20344,No
358,Manish Jain,4,Mid,Female,6,Mumbai,52546,5597,No
359,Aakash Pandey,5,Junior,Female,7,Delhi,76615,14837,No
360,Kavita Nair,3,Manager,Male,9,Chennai,122312,12495,No
361,Swati Joshi,4,Manager,Female,14,Mumbai,140892,23720,No
362,Nisha Agarwal,1,Junior,Female,11,Mumbai,60571,27601,No
363,Swati Joshi,2,Mid,Female,7,Delhi,120524,29067,Yes
364,Rohit Kumar,1,Senior,Male,6,Delhi,36345,23098,No
365,Suresh Reddy,4,Junior,Female,12,Bangalore,85282,18088,No
366,Sneha Iyer,3,Mid,Female,10,Mumbai,110010,15976,Yes
367,Amit Sharma,3,Junior,Female,4,Mumbai,93255,8176,Yes
368,Amit Sharma,1,Mid,Female,14,Bangalore,77127,19412,No
369,Ritu Saxena,5,Manager,Female,11,Chennai,68923,29778,Yes
370,Rahul Verma,5,Junior,Male,10,Mumbai,118198,7898,No
371,Karan Malhotra,3,Senior,Male,12,Mumbai,45271,22648,No
372,Pooja Patel,1,Junior,Male,2,Chennai,47762,11943,No
373,Manish Jain,1,Manager,Female,11,Delhi,145781,11850,Yes
374,Amit Sharma,1,Manager,Female,13,Delhi,141819,20731,No
375,Karan Malhotra,4,Mid,Male,11,Delhi,92030,20564,No
376,Vikas Yadav,5,Manager,Female,9,Bangalore,53519,15651,No
377,Rohit Kumar,5,Mid,Male,10,Chennai,127558,6554,Yes
378,Priya Singh,4,Manager,Female,11,Delhi,30710,16934,No
379,Sneha Iyer,2,Mid,Male,5,Bangalore,58026,28763,Yes
380,Karan Malhotra,4,Senior,Male,5,Chennai,119381,29628,Yes
381,Swati Joshi,1,Mid,Female,11,Delhi,148174,5671,No
382,Rohit Kumar,4,Mid,Female,12,Mumbai,34892,13274,No
383,Deepak Mishra,1,Senior,Male,3,Mumbai,148187,17512,No
384,Rohit Kumar,3,Mid,Male,13,Delhi,65995,24952,Yes
385,Ritu Saxena,1,Mid,Female,3,Delhi,47114,15669,No
386,Nisha Agarwal,5,Senior,Male,1,Bangalore,118340,6451,No
387,Deepak Mishra,4,Manager,Female,12,Mumbai,135736,26697,Yes
388,Varun Bansal,1,Junior,Male,11,Chennai,68960,10237,No
389,Rohit Kumar,2,Mid,Female,5,Delhi,137105,28362,No
390,Sneha Iyer,3,Manager,Female,3,Chennai,86340,28422,No
391,Karan Malhotra,2,Junior,Female,11,Delhi,47851,27427,No
392,Karan Malhotra,2,Senior,Male,2,Mumbai,64326,28522,No
393,Vikas Yadav,2,Mid,Female,11,Delhi,73479,15317,No
394,Neha Gupta,3,Mid,Female,9,Chennai,68025,22463,No
395,Amit Sharma,3,Senior,Female,13,Mumbai,112149,12985,No
